"","ID","idade","status","casa","setor","poup"
"1",159,8,"1","2","0","1"
"2",156,46,"1","2","1","1"
"3",77,46,"3","1","0","0"
"4",91,7,"3","1","0","0"
"5",32,9,"2","1","0","0"
"6",140,30,"2","2","0","1"
"7",89,6,"3","1","0","0"
"8",188,53,"3","1","0","0"
"9",9,26,"2","1","1","0"
"10",167,32,"1","1","1","1"
"11",104,18,"1","1","0","0"
"12",149,13,"1","2","1","1"
"13",128,70,"3","1","0","1"
"14",173,30,"2","1","0","0"
"15",43,24,"1","2","0","0"
"16",103,25,"1","1","0","1"
"17",187,9,"3","1","0","0"
"18",132,6,"2","1","0","0"
"19",69,46,"1","1","0","1"
"20",169,24,"1","1","0","1"
"21",28,2,"3","1","0","0"
"22",27,18,"2","2","0","0"
"23",92,4,"3","1","0","0"
"24",29,61,"3","1","0","1"
"25",141,11,"1","2","0","1"
"26",79,3,"1","1","0","1"
"27",136,35,"2","2","1","0"
"28",152,23,"1","2","0","1"
"29",37,3,"2","2","0","1"
"30",40,1,"3","2","0","1"
"31",109,8,"2","1","0","0"
"32",90,6,"3","1","0","1"
"33",66,22,"3","1","0","0"
"34",68,30,"1","1","0","1"
"35",6,26,"3","1","0","0"
"36",25,14,"3","2","0","0"
"37",54,27,"1","2","1","1"
"38",30,20,"3","1","0","0"
"39",96,19,"3","1","0","0"
"40",106,33,"3","1","1","0"
"41",98,35,"3","1","0","0"
"42",15,37,"1","2","1","1"
"43",143,32,"1","2","0","1"
"44",139,43,"3","2","1","1"
"45",153,48,"1","2","1","0"
"46",162,11,"3","1","1","0"
"47",46,12,"2","2","0","1"
"48",67,24,"1","1","0","1"
"49",175,29,"3","1","1","0"
"50",81,25,"2","1","0","0"
"51",115,15,"1","2","0","1"
"52",182,21,"3","1","0","1"
"53",87,8,"2","1","0","0"
"54",72,27,"1","1","1","0"
"55",5,18,"3","1","1","0"
"56",44,70,"1","2","1","1"
"57",59,31,"1","2","0","1"
"58",142,39,"1","2","1","1"
"59",95,32,"3","1","1","0"
"60",164,21,"3","1","1","0"
"61",76,6,"2","1","0","1"
"62",57,39,"1","2","0","0"
"63",11,23,"1","1","0","0"
"64",64,16,"3","1","0","0"
"65",101,6,"1","1","0","1"
"66",178,13,"2","1","0","1"
"67",51,68,"2","2","1","1"
"68",129,5,"3","1","0","0"
"69",88,14,"3","1","0","0"
"70",168,24,"1","1","1","0"
"71",110,5,"1","1","0","0"
"72",93,8,"3","1","0","0"
"73",73,28,"1","1","0","1"
"74",31,16,"3","1","0","0"
"75",194,31,"3","1","0","0"
"76",100,1,"1","1","0","1"
"77",192,4,"2","1","0","1"
"78",39,17,"2","2","1","0"
"79",113,25,"1","1","1","1"
"80",196,24,"2","1","0","0"
"81",41,53,"2","2","1","1"
"82",35,44,"3","2","0","0"
"83",23,16,"1","2","1","1"
"84",74,52,"1","1","1","1"
"85",119,2,"1","2","0","0"
"86",24,11,"2","2","0","0"
"87",172,34,"1","1","1","1"
"88",183,34,"1","1","0","1"
"89",185,14,"2","1","0","0"
"90",94,9,"2","1","0","0"
"91",145,3,"3","2","0","1"
"92",84,51,"3","1","0","1"
"93",190,15,"3","1","0","0"
"94",121,33,"2","2","0","1"
"95",3,6,"1","1","0","0"
"96",184,1,"3","1","0","0"
"97",20,15,"1","2","1","1"
"98",47,20,"3","2","1","1"
"99",22,32,"2","2","1","1"
"100",83,65,"3","1","1","1"
